GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.monitor,HbaseConfigMonitor.FileListener,150,0,12,0,39,0,10,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.config,MappingConfigLoader,66,0,2,0,17,0,5,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.config,MappingConfig.ColumnItem,80,0,6,0,25,0,18,0,15,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.config,MappingConfig.HbaseMapping,379,0,44,0,104,0,57,0,35,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.config,MappingConfig.Mode,35,0,0,0,6,0,3,0,3,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.config,MappingConfig,148,0,30,0,33,0,30,0,15,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.service,HbaseSyncService,1164,0,188,0,259,0,105,0,11,0
canal client adapter launcher module for otter 1.1.8/client-adapter.hbase,com.alibaba.otter.canal.client.adapter.hbase.service,HbaseEtlService,760,0,96,0,154,0,54,0,6,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,org.elasticsearch.client,RequestConvertersExt,28,0,4,0,4,0,4,0,2,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,org.elasticsearch.client,RestHighLevelClientExt,12,0,0,0,3,0,2,0,2,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x,ES6xAdapter,250,0,20,0,58,0,16,0,6,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.etl,ESEtlService,485,0,38,0,109,0,24,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection,316,0,16,0,78,0,21,0,13,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ESClientMode,15,0,0,0,2,0,1,0,1,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ESSearchRequest,122,0,8,0,26,0,12,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ES6xBulkRequest,171,0,14,0,40,0,18,0,11,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ES6xTemplate,1274,0,120,0,264,0,87,0,27,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ES6xUpdateRequest,95,0,8,0,23,0,12,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ES6xDeleteRequest,41,0,2,0,11,0,6,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ES6xBulkResponse,56,0,6,0,11,0,6,0,3,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es6x,com.alibaba.otter.canal.client.adapter.es6x.support,ESConnection.ES6xIndexRequest,77,0,6,0,19,0,10,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x,ES7xAdapter,244,0,20,0,57,0,16,0,6,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.etl,ESEtlService,472,0,38,0,111,0,24,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ES7xBulkRequest,170,0,14,0,40,0,18,0,11,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ES7xDeleteRequest,47,0,2,0,13,0,6,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ES7xBulkResponse,56,0,6,0,11,0,6,0,3,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ES7xTemplate,1242,0,124,0,261,0,89,0,27,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ESClientMode,15,0,0,0,2,0,1,0,1,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ES7xIndexRequest,87,0,6,0,22,0,10,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ESSearchRequest,118,0,8,0,26,0,12,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection.ES7xUpdateRequest,101,0,8,0,25,0,12,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es7x,com.alibaba.otter.canal.client.adapter.es7x.support,ESConnection,299,0,14,0,74,0,20,0,13,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection,317,0,12,0,74,0,19,0,13,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ES8xBulkRequest,87,0,0,0,25,0,11,0,11,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ES8xTemplate,1235,0,120,0,260,0,87,0,27,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ES8xBulkResponse,56,0,6,0,11,0,6,0,3,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ES8xIndexRequest,45,0,0,0,14,0,7,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ES8xDeleteRequest,27,0,0,0,9,0,5,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ESSearchRequest,70,0,0,0,18,0,8,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.support,ESConnection.ES8xUpdateRequest,48,0,0,0,15,0,8,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x,ES8xAdapter,221,0,16,0,54,0,14,0,6,0
canal client adapter launcher module for otter 1.1.8/client-adapter.es8x,com.alibaba.otter.canal.client.adapter.es8x.etl,ESEtlService,472,0,38,0,111,0,24,0,5,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.support,BatchExecutor,172,0,10,0,43,0,13,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.support,SingleDml,163,0,12,0,50,0,22,0,16,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.support,SyncUtil,779,0,137,0,185,0,83,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb,RdbAdapter,756,0,66,0,165,0,52,0,19,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.config,MappingConfig,102,0,16,0,28,0,23,0,15,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.config,ConfigLoader,66,0,2,0,17,0,5,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.config,MirrorDbConfig,41,0,0,0,15,0,8,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.config,MappingConfig.DbMapping,134,0,4,0,51,0,30,0,28,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.monitor,RdbConfigMonitor,79,0,0,0,21,0,4,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.monitor,RdbConfigMonitor.FileListener,155,0,12,0,41,0,10,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.service,RdbMirrorDbSyncService,298,0,26,0,66,0,20,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.service,RdbSyncService.SyncItem,9,0,0,0,4,0,1,0,1,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.service,RdbEtlService,493,0,26,0,105,0,20,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.rdb,com.alibaba.otter.canal.client.adapter.rdb.service,RdbSyncService,1221,0,134,0,265,0,93,0,26,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.support,SyncUtil,414,0,84,0,101,0,58,0,9,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.config,MappingConfig.ColumnItem,56,0,6,0,15,0,12,0,9,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.config,ConfigLoader,75,0,2,0,18,0,5,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.config,MappingConfig.DbMapping,305,0,26,0,78,0,36,0,23,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.config,MappingConfig,106,0,12,0,32,0,23,0,17,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.enums,TablestoreFieldType,33,0,0,0,6,0,1,0,1,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.service,TablestoreSyncService,862,0,94,0,184,0,61,0,14,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.service,TablestoreEtlService,252,0,18,0,62,0,15,0,6,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore,TablestoreAdapter,815,0,68,0,176,0,55,0,21,0
canal client adapter launcher module for otter 1.1.8/client-adapter.tablestore,com.alibaba.otter.canal.client.adapter.tablestore.common,PropertyConstants,3,0,0,0,1,0,1,0,1,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.monitor,ClickHouseConfigMonitor.FileListener,155,0,12,0,41,0,10,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.monitor,ClickHouseConfigMonitor,79,0,0,0,21,0,4,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse,ClickHouseAdapter,772,0,74,0,166,0,54,0,17,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.support,BatchExecutor,235,0,14,0,55,0,16,0,9,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.support,SingleDml,163,0,12,0,50,0,22,0,16,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.support,SyncUtil,752,0,131,0,177,0,80,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.config,MappingConfig,102,0,16,0,28,0,23,0,15,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.config,MappingConfig.DbMapping,134,0,4,0,51,0,30,0,28,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.config,ConfigLoader,66,0,2,0,17,0,5,0,4,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.config,MirrorDbConfig,41,0,0,0,15,0,8,0,8,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.service,ClickHouseBatchSyncService,1442,0,144,0,296,0,101,0,29,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.service,ClickHouseEtlService,493,0,26,0,107,0,20,0,7,0
canal client adapter launcher module for otter 1.1.8/client-adapter.clickhouse,com.alibaba.otter.canal.client.adapter.clickhouse.service,ClickHouseMirrorDbBatchSyncService,356,0,34,0,79,0,25,0,8,0
